Order ID,Customer,customer email,Product,product sku,Qty,Unit Price,Order Date,Status,Notes
1001,John Smith,john.smith@acme.com,Widget A,SKU-100,3,$12.50,1/5/2024,shipped,
1001,John Smith,john.smith@acme.com,Widget B,SKU-101,1,$45.00 ,1/5/2024,shipped,
1001,John Smith,john.smith@acme.com,Widget A,SKU-100,3,$12.50,1/5/2024,shipped,exact duplicate row - likely double export
1002,jane doe,JANE.DOE@acme.com,Widget B,sku-101,1,45.00,01/06/2024,Shipped,
1003,John  Smith ,,Widget A,SKU-100,5,12.5,2024-01-08,pending,no email on file - same customer as 1001/1008 by name
1004,Acme Corp / Mary Johnson,mary.j@acmecorp.com,Widget C,SKU102,2,"$99.99",1/9/24,PENDING,combined company+contact name in one field
1005,Bob Lee,bob@example.com,Widget A,SKU-100,,12.50,1/10/2024,cancelled,qty missing - follow up with customer
1006,Jane Doe,jane.doe@acme.com,Widget D,SKU-103,10,8.75,1/12/2024,shipped,bulk order - same customer as 1002 different casing
1007,,unknown@nowhere.com,Widget B,SKU-101,2,45.00,1/13/2024,pending,customer name missing entirely
1008,John Smith,john.smith@acme.com,Widget C,SKU-102,1,99.99,1/15/2024,shipped,
